:Ion_Creangă [http]     :Horia_Gârbea [http]
:Ion_Creangă [http]     :I._Dragoslav [http]
:Manny_Farber [http]    :J._Hoberman [http]
:Nicolas_de_Largillière [http]  :Jacob_van_Schuppen [http]
:Brian_O'Nolan [http]   :Jamie_O'Neill [http]
:Maya_Deren [http]      :Jane_Campion [http]
:William_Styron [http]  :Janet_Frame [http]
:Hunter_S._Thompson [http]      :Jeffrey_Morgan [http]
:Josip_Murn [http]      :Jože_Snoj [http]
:Brian_O'Nolan [http]   :John_Murray_(novelist) [http]
:Liviu_Rebreanu [http]  :Juan_Gómez-Jurado [http]
:Alexandre_Dumas [http] :Juan_Gómez-Jurado [http]
:Kyōka_Izumi [http]     :Jun'ichirō_Tanizaki [http]
:Donald_Barthelme [http]        :Kyle_Muntz [http]
:Attila_József [http]   :László_Németh [http]
:Hunter_S._Thompson [http]      :Lester_Bangs [http]
:Ken_Kesey [http]       :Lester_Bangs [http]
:Ion_Creangă [http]     :Mircea_Nedelciu [http]
:Ion_Creangă [http]     :Nicolae_Constantin_Batzaria [http]
:Jean_Rhys [http]       :Noah_Cicero [http]
:Anita_Mui [http]       :Patrick_Tam_(actor) [http]
:William_Styron [http]  :Peter_Matthiessen [http]
:Lucy_Maud_Montgomery [http]    :Rachna_Gilmore [http]
:René_Guénon [http]     :Raymond_Queneau [http]
:Redd_Foxx [http]       :Richard_Pryor [http]
:William_Styron [http]  :Richard_Yates_(novelist) [http]
:Allen_Tate [http]      :Robert_Lowell [http]
:Hart_Crane [http]      :Robert_Lowell [http]
:John_Berryman [http]   :Robert_Lowell [http]
:William_Carlos_Williams [http] :Robert_Lowell [http]
:Dane_Zajc [http]       :Rudi_Šeligo [http]
:Theodore_Sturgeon [http]       :Samuel_R._Delany [http]
:James_Hadley_Chase [http]      :Surender_Mohan_Pathak [http]
:Dane_Zajc [http]       :Svetlana_Makarovič [http]
:Siegfried_Sassoon [http]       :Wilfred_Owen [http]
:Richard_Brautigan [http]       :William_Michaelian [http]
:Émile_Durkheim [http]  :Ziya_Gökalp [http]
:Zhou_Dunyi [http]      :Cheng_Yi_(philosopher) [http]
:Hubert_Dreyfus [http]  :Tao_Ruspoli [http]
:Aristippus [http]      :Anniceris [http]
:William_Carlos_Williams [http] :Charles_Olson [http]
:Mary_Douglas [http]    :David_Bloor [http]
:Émile_Durkheim [http]  :David_Bloor [http]
:Hans_Jonas [http]      :Eric_Voegelin [http]
:Felix_Andries_Vening_Meinesz [http]    :Harry_Hammond_Hess [http]
:Han_Ryner [http]       :Iniciales [http]
:Hans_Jonas [http]      :Leon_Kass [http]
:Aldous_Huxley [http]   :Leon_Kass [http]
:William_Carlos_Williams [http] :Robert_Creeley [http]
:Jeanette_Winterson [http]      :Sarah_Waters [http]
:Paul_Otlet [http]      :Alexander_Ivanovich_Mikhailov [http]
:René_Guénon [http]     :Ananda_Coomaraswamy [http]
:Hunter_S._Thompson [http]      :Cintra_Wilson [http]
:Sultan_Bashiruddin_Mahmood [http]      :Israr_Ahmed [http]
:Vardis_Fisher [http]   :Larry_McMurtry [http]
:H._L._A._Hart [http]   :Leslie_Green_(philosopher) [http]
:Han_Ryner [http]       :Maria_Lacerda_de_Moura [http]
:Barbara_Guest [http]   :Norma_Cole [http]
:Émile_Durkheim [http]  :Pierre_Bourdieu [http]
:Hunter_S._Thompson [http]      :Warren_Ellis [http]
:Srečko_Kosovel [http]  :Matej_Bor [http]
:Alfred_North_Whitehead [http]  :William_Irwin_Thompson [http]
:Jan_Kasprowicz [http]  :Francis_Jammes [http]
:Peter_Whittle [http]   :Karl_Gustav_Jöreskog [http]
:Hubert_Dreyfus [http]  :Mark_Wrathall [http]
:Dane_Zajc [http]       :Tomaž_Šalamun [http]
:Srečko_Kosovel [http]  :Tomaž_Šalamun [http]
:Hermann_Ulrici [http]  :Andrew_Seth_Pringle-Pattison [http]
:Alexander_Pushkin [http]       :Boris_Pasternak [http]
:Ennio_Flaiano [http]   :Federico_Fellini [http]
:Richard_Brautigan [http]       :Haruki_Murakami [http]
:Otto_Rank [http]       :Irvin_D._Yalom [http]
:Redd_Foxx [http]       :Jamie_Foxx [http]
:Jack_Smith_(film_director) [http]      :John_Zorn [http]
:Fernão_Lopes_de_Castanheda [http]      :Luís_de_Camões [http]
