"Friedrich Heinrich Jacobi","Moses Mendelssohn"
"Gene Wolfe","Neil Gaiman"
"Jack Vance","Neil Gaiman"
"R. A. Lafferty","Neil Gaiman"
"Alan Moore","Neil Gaiman"
"Arkhip Kuindzhi","Nicholas Roerich"
"Alexander Pushkin","Nikolai Gogol"
"H. L. A. Hart","Neil MacCormick"
"Alexander Pushkin","Nikolai Leskov"
"Redd Foxx","Nipsey Russell"
"Alexander Pushkin","Pablo Neruda"
"Anaxagoras","Pericles"
"Hunter S. Thompson","P. J. O'Rourke"
"Jack Vance","Poul Anderson"
"Otto Rank","Paul Goodman"
"Abbie Hoffman","Paul Krassner"
"Vic Reeves","Paul Whitehouse"
"Alexander Pushkin","Pyotr Ilyich Tchaikovsky"
"Kyriakos Charalambides","Rainer Maria Rilke"
"Theodore Sturgeon","Ray Bradbury"
"Yevgeny Zamyatin","Ray Bradbury"
"Alexis de Tocqueville","Raymond Aron"
"Arcesilaus","Philo of Larissa"
"Hubert Dreyfus","Richard Rorty"
"Jack Vance","Roger Zelazny"
"Alexander Luria","Roman Jakobson"
"Kyōka Izumi","Ryūnosuke Akutagawa"
"Charles Grafton Page","Samuel Morse"
"Barbara Guest","Rachel Blau DuPlessis"
"August Kundt","Richard Adolf Zsigmondy"
"Hubert Selby, Jr.","Richard Price"
"Alexander Pushkin","Sergei Yesenin"
"Brian O'Nolan","Robert Anton Wilson"
"Colin Wilson","Robert Anton Wilson"
"Robert W. Chambers","Robert Anton Wilson"
"Siegfried Sassoon","Robert Graves"
"Rodney Dangerfield","Robert Klein"
"Sándor Ferenczi","Sigmund Freud"
"Liviu Rebreanu","Stephen King"
"Alexandre Dumas","Stephen King"
"Kyriakos Charalambides","T. S. Eliot"
"Richard Crashaw","T. S. Eliot"
"Jack Vance","Terry Pratchett"
"Jack Vance","Ursula K. Le Guin"
"Ilya Repin","Vasily Surikov"
"Alexander Pushkin","Vladimir Nabokov"
"Alexander Pushkin","Vladimir Vysotsky"
"Jeanette Winterson","Susan Hill"
"Donald Barthelme","Susan Sontag"
"Ted Hughes","Sylvia Plath"
"Robert Southey","W. B. Yeats"
"Seebohm Rowntree","Winston Churchill"
"Aldous Huxley","Thomas Merton"
"René Guénon","Titus Burckhardt"
"Chevy Chase","Will Ferrell"
"Alfred North Whitehead","Willard Van Orman Quine"
"Alfred North Whitehead","Wolfgang Smith"
"William Carlos Williams","H.H. Lewis"
