"Austin Tappan Wright","Mark Saxton"
"Ibn-e-Safi","Mazhar Kaleem"
"Ross Macdonald","Michael Connelly"
"Malcolm Hardee","Paul Merton"
"Stan Pitt","Paul Wheelahan"
"Avital Ronell","Pierre Alféri"
"Joel Chandler Harris","Ralph Ellison"
"Paul Mooney","Richard Pryor"
"Christopher Smart","Robert Browning"
"Ibn-e-Safi","Safdar Shaheen"
"Robert Walter Weir","Seth and Mary Eastman"
"Sid Chaplin","Stan Barstow"
"Leslie Scalapino","Stephen Ratcliffe"
"Ibn-e-Safi","Surender Mohan Pathak"
"J. G. Ballard","Thomas M. Disch"
"Arthur Yap","Toh Hsien Min"
"Theodore Roethke","William Stafford"
"Patrick Galvin","William Wall"
"Ji Suk-jin","Yoo Jae-Seok"
"Marvin Minsky","David Waltz"
"Bernard Ogilvie Dodge","Esther Lederberg"
"Charles Weidman","Louis Falco"
"Jeffrey Sachs","Nouriel Roubini"
"Alasdair MacIntyre","Radical Orthodoxy"
"Ronald Coase","Steven Landsburg"
"Gerald Cohen","Leslie Jacobs"
"Graham Harman","Steven Shaviro"
"John Kenneth Galbraith","Stephany Griffith-Jones"
"Mary Fraser Tytler","Compton Potters' Arts Guild"
"A-Lin","A-mei"
"Stanley Cavell","Charles Bernstein"
"Franco Basaglia","Ludwig Binswanger"
"Piero Sraffa","Luigi Pasinetti"
"David Park","Manuel Neri"
"Gerald Cohen","Will Kymlicka"
"Jeong Jun-ha","Gil Seong-joon"
"Piero Sraffa","Ian Steedman"
"Jeong Hyeong-don","Jeong Ga-eun"
"Hyacinthe Rigaud","Joseph André Cellony"
"Hyacinthe Rigaud","Nicolas Desportes"
"Alasdair MacIntyre","Christian Smith"
"Charles Taylor","Christian Smith"
"Gustav Fechner","Gerardus Heymans"
"Panait Cerna","Ion Sân-Giorgiu"
"Muhammad Iqbal","Israr Ahmed"
"Hayim Nahman Bialik","Jacob Steinberg"
"Sextus Empiricus","Nassim Nicholas Taleb"
"Leslie Scalapino","Norma Cole"
"Peter Deunov","Paramahansa Yogananda"
"José María Rosa","Pacho O'Donnell"
"C. Cameron Macauley","William Heick"
"Ernst Fehr","Armin Falk"
"John Drummond, 15th Baron Strange","Cherry Drummond, 16th Baroness Strange"
"William Baumol","Jean Tirole"
"Sid Chaplin","Keith Waterhouse"
"John A. Todd","Hugh McDevitt"
"Miguel Pou","Librado Net"
"Clive Granger","James H. Stock"
"Vladimir Colin","Leonard Oprea"
"Hisham ibn Urwah","Malik ibn Anas"
"Antonio Zanchi","Francesco Trevisani"
"Johann Joachim Winckelmann","Franz Wickhoff"
"Juan José Carbó","José Sanchis Sinisterra"
"Robinson Jeffers","Charles Bukowski"
"Adamantios Korais","Constitution of Greece"
"Johann Joachim Winckelmann","Friedrich Hölderlin"
"William Baumol","James Tobin"
"Johann Joachim Winckelmann","Johann Gottfried Herder"
"Julius Evola","Marguerite Yourcenar"
"Julius Evola","Mircea Eliade"
"John Dos Passos","Norman Mailer"
"Stéphane Mallarmé","Octavio Paz"
"John Dos Passos","Simone de Beauvoir"
"Edward Gorey","Tim Burton"
"Pyrrho","Aenesidemus"
"Andrey Dikiy","Aleksandr Solzhenitsyn"
"John Dos Passos","Aleksandr Solzhenitsyn"
"Jerry Sadowitz","Alexei Sayle"
"Jerry Sadowitz","Ali Cook"
"Thomas Williams","Alice McDermott"
"Gleb Uspensky","Anton Chekhov"
"Otto Weininger","Arnold Schoenberg"
"Stanley Fischer","Ben Bernanke"
"Franz Brentano","Carl Stumpf"
"J. G. Ballard","China Miéville"
"Terence McKenna","Clifford A. Pickover"
"Lewis Mumford","Correlli Barnett"
"Leonid Hurwicz","Daniel McFadden"
"Pierre Louis Maupertuis","Denis Diderot"
"Avital Ronell","Dennis Cooper"
"J. G. Ballard","Don DeLillo"
"John Dos Passos","Don DeLillo"
"Anthony Downs","Duncan Black"
"Ronald Coase","Duncan Black"
"Joel Chandler Harris","E. B. White"
"Paul Mooney","Eddie Griffin"
"Frantz Fanon","Edward Said"
"Pyrrho","Epicurus"
"Friedrich List","Erik S. Reinert"
"Joel Chandler Harris","Ezra Pound"
"Joel Chandler Harris","Flannery O'Connor"
"Francesco Guardi","Francesco Giuseppe Casanova"
"Clarence Edwin Ayres","Frank Knight"
"Albert Marquet","Gabriel Laderman"
"Joel Chandler Harris","A. A. Milne"
"Paul Mooney","George Lopez"
"Bernard Ogilvie Dodge","George Wells Beadle"
"Moritz Schlick","Albert Einstein"
"Otto Weininger","Giorgio de Chirico"
"Julius Evola","Aleksandr Dugin"
"Franz Brentano","Alfred Tarski"
"Johann Joachim Winckelmann","Gotthold Ephraim Lessing"
"Tom of Finland","Andy Warhol"
"Edward Weston","Ansel Adams"
"Gorgias","Antisthenes"
"Ronald Coase","Armen Alchian"
"Friedrich List","Arthur Griffith"
"Jan Gregoor","Helen Berman"
"Maarten van Heemskerck","Hendrik Goltzius"
"Christopher Smart","Benjamin Britten"
"Franz Brentano","Bertrand Russell"
"Sitt Nyein Aye","Htein Lin"
"Stéphane Mallarmé","Claude Debussy"
"Stéphane Mallarmé","Claude Monet"
"Muhammad Iqbal","Jawdat Said"
"Jacopo Bassano","Diego Velázquez"
"Zaharije Orfelin","Dositej Obradović"
"Franco Basaglia","Edmund Husserl"
"Sextus Empiricus","Edmund Husserl"
"Franz Brentano","Edmund Husserl"
"Malcolm Hardee","John Bishop"
"Coby Whitmore","John Buscema"
"Charles Scott Sherrington","John Eccles"
"Nikolai Kondratiev","Eric Hobsbawm"
"Franz Brentano","John Searle"
"J. G. Ballard","Jonathan Lethem"
"Zhu Xi","Joseph Needham"
"Zaharije Orfelin","Jovan Rajić"
"Otto Weininger","Franz Kafka"
"John Dos Passos","Günter Grass"
"Malcolm Hardee","Keith Allen"
"Jerry A. Hausman","Kenneth Rogoff"
"Stanley Fischer","Kenneth Rogoff"
"Sextus Empiricus","Georg Wilhelm Friedrich Hegel"
"Otto Weininger","Gertrude Stein"
"Julius Evola","Hermann Hesse"
"Karl Bühler","Jürgen Habermas"
"Joel Chandler Harris","James Joyce"
"Otto Weininger","James Joyce"
"Georges-Louis Leclerc, Comte de Buffon","Jean-Baptiste Lamarck"
"Franco Basaglia","Jean-Paul Sartre"
"John Dos Passos","Jean-Paul Sartre"
"J. G. Ballard","Jean Baudrillard"
"Luigi Amoroso","Joan Robinson"
"Piero Sraffa","Joan Robinson"
"Leslie Scalapino","Lyn Hejinian"
"Piero Sraffa","John Maynard Keynes"
"Franco Basaglia","Karl Jaspers"
"George Dantzig","Kenneth Arrow"
"Moritz Schlick","Kurt Gödel"
"Pierre Louis Maupertuis","Leonhard Euler"
"André Antoine","Max Reinhardt"
"Franz Brentano","Ludwig von Mises"
"Jacob Isaakszoon van Ruisdael","Meindert Hobbema"
"Jean Racine","Marcel Proust"
"Elizabeth Jane Howard","Martin Amis"
"Franco Basaglia","Martin Heidegger"
"Franz Brentano","Martin Heidegger"
"Charles Taylor","Michael Sandel"
"Edwin Way Teale","Maurice Maeterlinck"
"Gleb Uspensky","Maxim Gorky"
"J. G. Ballard","Michael Moorcock"
"Franco Basaglia","Michel Foucault"
"Georges Bataille","Michel Foucault"
"Sextus Empiricus","Michel de Montaigne"
"Johann Heinrich Lambert","Moses Mendelssohn"
"Johann Joachim Winckelmann","Oswald Spengler"
"George Dantzig","Paul Samuelson"
"Piero Sraffa","Paul Samuelson"
"Stéphane Mallarmé","Paul Verlaine"
"Gorgias","Pericles"
"Oliver E. Williamson","Paul Joskow"
"Frank Edwin Egler","Rachel Carson"
"Jack Boynton","René Magritte"
"Jacques Derrida","Richard Rorty"
"Robert H. Dicke","Robert Woodrow Wilson"
"Dermot Healy","Roddy Doyle"
"Joel Chandler Harris","Rudyard Kipling"
"Loren Mosher","R. D. Laing"
"Jean Racine","Samuel Beckett"
"Maurice Blanchot","Samuel Beckett"
"Terence McKenna","Robert Anton Wilson"
"Otto Weininger","Robert Musil"
"Franz Brentano","Sigmund Freud"
"Edmund Wilson","Sinclair Lewis"
"Jean Racine","Stendhal"
"Stéphane Mallarmé","T. S. Eliot"
"Joel Chandler Harris","T. S. Eliot"
"Paul Mooney","Sandra Bernhard"
"Edmund Wilson","Theodore Dreiser"
"Witold Gombrowicz","Thomas Bernhard"
"Otto Weininger","Thomas Bernhard"
"Franz Brentano","Tomáš Garrigue Masaryk"
"Donald Goines","Tupac Shakur"
"Hans Reichenbach","Vienna Circle"
"Moritz Schlick","Vienna Circle"
"Otto Neurath","Vienna Circle"
"Joseph Dietzgen","Vladimir Lenin"
"Theodore Roethke","Sylvia Plath"
"Stéphane Mallarmé","W. B. Yeats"
"Eva Henrietta Hamilton","W. B. Yeats"
"Henry Fuseli","William Blake"
"Stanley Cavell","Terrence Malick"
"Mark Van Doren","Thomas Merton"
"Pyrrho","Timon of Phlius"
"Ion Minulescu","Tristan Tzara"
"John Dos Passos","Victor Serge"
"Zhu Xi","Wang Fuzhi"
"Charles Scott Sherrington","Wilder Penfield"
"Yasunari Kawabata","William T. Vollmann"
"Henri Victor Regnault","William Thomson, 1st Baron Kelvin"
"Evandro Agazzi","Carlo Penco"
"David Park","Joan Brown"
"Cleeve Horne","Myfanwy Pavelic"
"Frances Senska","Rudy Autio"
"Theodore Roethke","Anne Sexton"
"Cornelis de Bie","Arnold Houbraken"
"Abraham Wald","Aryeh Dvoretzky"
"Karl Leonhard Reinhold","Friedrich Adolf Trendelenburg"
"Nicolas Ambraseys","Harry Bolton Seed"
"Malcolm Hardee","Harry Enfield"
"George Herbert","Henry Vaughan"
"Theodore Roethke","James Wright"
"Alfred Wegener","Johannes Letzmann"
"Coby Whitmore","John Romita, Sr."
"Thomas Charvériat","Liu Dao"
"Wang Dongma","Liu Dao"
"Gonçalves de Magalhães, Viscount of Araguaia","Manuel de Araújo Porto-alegre, Baron of Santo Ângelo"
"George E. Kimball","Margaret Oakley Dayhoff"
"Stéphane Mallarmé","Michael Palmer"
"Mark Van Doren","Robert Giroux"
"Frank Duveneck","Dixie Selden"
"Otto Neurath","John O'Neill"
"Piero Sraffa","Murray Milgate"
"R. Tyrrell Rockafellar","Roger J-B Wets"
"Thomas Charvériat","Rose Tang"
"Wang Dongma","Rose Tang"
"Benjamin Barber","Howard Dean"
"Arthur Goldberger","Jan Kmenta"
"Louis Arnaud Reid","Jacques Barzun"
"David Gordon","Ain Gordon"
"Franz Brentano","Anton Marty"
"F. L. Griggs","Paul Drury"
"Joseph Webb","Paul Drury"
"Ahmed Karahisari","Hasan Çelebi"
"Hyacinthe Rigaud","Louis René Vialy"
"Mark Van Doren","Allen Ginsberg"
"John Bauer","Arthur Rackham"
"Pyrrho","David Hume"
"Sextus Empiricus","David Hume"
"James M. Buchanan","Elinor Ostrom"
"Nikolai Kondratiev","Ernest Mandel"
"Johann Joachim Winckelmann","Friedrich Nietzsche"
"Stan Brakhage","Gus Van Sant"
"Johann Heinrich Lambert","Immanuel Kant"
"Pierre Louis Maupertuis","Immanuel Kant"
"Karl Leonhard Reinhold","Johann Gottlieb Fichte"
"Johann Joachim Winckelmann","Johann Wolfgang von Goethe"
"Thomas Willis","John Locke"
"Alfred Schütz","Peter L. Berger"
"Gorgias","Plato"
"Sextus Empiricus","René Descartes"
"Dominic Behan","Ronnie Drew"
"Edwin H. Land","Steve Jobs"
"Dmitri Ivanovsky","Wendell Meredith Stanley"
"Fayga Ostrower","Anna Bella Geiger"
"Piero Sraffa","Amartya Sen"
"Stan Brakhage","David Fincher"
"Guan Tong","Fan Kuan"
"Jing Hao","Fan Kuan"
"Ludwig von Bertalanffy","Kenneth E. Boulding"
"Stéphane Mallarmé","Paul Valéry"
"Giuseppe Ungaretti","Salvatore Quasimodo"
"Gustav Fechner","Wilhelm Wundt"
"Moritz Schlick","Albert Blumberg"
"Max Hirsch","Albert Jay Nock"
"Edward Gorey","Amy Winfrey"
"Thomas Williams","Bill Morrissey"
"Gustav Fechner","Charles Hartshorne"
"Nikolai Kondratiev","Christopher Freeman"
"Richard Timberlake","David D. Friedman"
"Ronald Coase","David D. Friedman"
"Theodore Roethke","David Wagoner"
"David Park","Elmer Bischoff"
"Otto Weininger","Emil Cioran"
"Joel Chandler Harris","Enid Blyton"
"Giuseppe Ungaretti","Eugenio Montale"
"Joel Chandler Harris","Frank Lebby Stanton"
"Benjamin W. Lee","Gerard 't Hooft"
"F. L. Griggs","Graham Sutherland"
"Joseph Webb","Graham Sutherland"
"Avital Ronell","Hélène Cixous"
"Maija Grotell","Harvey Littleton"
"Frank William Taussig","Jacob Viner"
"Ludwig von Bertalanffy","James Grier Miller"
"Jacint Verdaguer","Joan Maragall"
"Gerald Cohen","Jon Elster"
"Arnold Sommerfeld","Karl Herzfeld"
"Frantz Fanon","Lewis Gordon"
"Albert Marquet","Louisa Matthíasdóttir"
"David Park","Nathan Oliveira"
"Tom of Finland","Paul Cadmus"
"David Park","Paul Wonner"
"Norman Geisler","Ravi Zacharias"
"Christopher Hills","Spirulina"
"William Brinkley","Steven Soderbergh"
"Maija Grotell","Toshiko Takaezu"
"Mark Van Doren","Whittaker Chambers"
"Charles Scott Sherrington","Archibald Hill"
"Pauline Marcelle","Bruce Nauman"
"Zhu Xi","Ch'ien Mu"
"Tom of Finland","David Hockney"
"Franco Basaglia","Erving Goffman"
"Avital Ronell","Jean-Luc Nancy"
"Avital Ronell","Judith Butler"
"Joel Chandler Harris","Kenneth Grahame"
"Muhammad Iqbal","Muhammad Ali Jinnah"
"George Bridgman","Norman Rockwell"
"Filippino Lippi","Raffaellino del Garbo"
"Dominic Behan","Shane MacGowan"
"Michael Walker","Ernest Emerson"
"Ernest William Brown","Wallace John Eckert"
"John Cutting","Iain McGilchrist"
"Avital Ronell","Laurence A. Rickels"
"Maarten van Heemskerck","Cornelis van Haarlem"
"Julius Evola","Miguel Serrano"
"Bernard Ogilvie Dodge","Boris Ephrussi"
"Giuseppe Ungaretti","Leonardo Sinisgalli"
"Eva Henrietta Hamilton","Letitia Marion Hamilton"
"Leslie Scalapino","Zoketsu Norman Fischer"
"Therkel Mathiassen","Frederica de Laguna"
"Revel Cooper","Lin Onus"
"Terence McKenna","Ralph Abraham"
"Avital Ronell","Samuel Weber"
"Robinson Jeffers","William Everson"
"Hyacinthe Rigaud","Jean Ranc"
"Julius Evola","Roberto Saviano"
"André Breton","Wolfi Landstreicher"
"Raoul Vaneigem","Wolfi Landstreicher"
"Moritz Schlick","Herbert Feigl"
"Carl Eytel","Jimmy Swinnerton"
"Charles Weidman","José Limón"
"Charles Taylor","Michael Walzer"
"Vasile Pogor","Titu Maiorescu"
"William Cubley","William Nicholson"
"Ágnes Heller","Andrew Arato"
"Ludwig von Bertalanffy","Ervin László"
"Donald Goines","Nas"
"Christopher Hills","Nutraceutical"
"Jakob Erbar","Rudolf Koch"
"Clifford Geertz","Stephen Greenblatt"
"Joel Chandler Harris","Thornton Burgess"
"Evan Thompson","Alva Noë"
"Hans Reichenbach","Berlin Circle"
"Otto Neurath","Berlin Circle"
"Joseph W. Phinney","Frederic Goudy"
"Karl Leonhard Reinhold","Salomon Maimon"
"Christian Krohg","Anna Ancher"
"Christopher Hills","Dowsing"
"Edward Gorey","Jhonen Vasquez"
"Franz Brentano","Stanisław Leśniewski"
"David Laibson","Xavier Gabaix"
"J. G. Ballard","Alex Garland"
"Alfred Schütz","Thomas Luckmann"
"Peter Scheemakers","Joseph Nollekens"
"Alasdair MacIntyre","Postliberal theology"
"Derek Walcott","Glyn Maxwell"
"Arthur Prior","John Lemmon"
"Richard Webster","Jonathan Gathorne-Hardy"
"A. D. Gordon","Eliezer Schweid"
"Severo Ochoa","Arthur Kornberg"
"Otto Weininger","August Strindberg"
"Rahel Sanzara","Gottfried Benn"
"Charles Scott Sherrington","Howard Florey"
"Mark Van Doren","Jack Kerouac"
"Stéphane Mallarmé","Jean Moréas"
"Franz Brentano","Kazimierz Twardowski"
"Howard Hodgkin","Michael Freedman"
"Adamantios Korais","Panagiotis Kanellopoulos"
"Jeffrey Sachs","Peter Diamond"
"Charles Scott Sherrington","Ragnar Granit"
"Franz Brentano","Rudolf Steiner"
"Peter Deunov","Rudolf Steiner"
"Johann Joachim Winckelmann","Stefan George"
"Seymour Benzer","Sydney Brenner"
"John Kenneth Galbraith","Paul A. Baran"
"Friedrich List","Ha-Joon Chang"
"Frantz Fanon","Achille Mbembe"
"Pyotr Gannushkin","Andrey Yevgenyevich Lichko"
"Leslie Scalapino","Carla Harryman"
"Lewis Mumford","Shimshon Bichler"
"Franklin Carmichael","Canadian Group of Painters"
"J. E. H. MacDonald","Canadian Group of Painters"
"Yamazaki Ansai","Hoshina Masayuki"
"Gerald Cohen","Joshua Cohen"
"Yoshifumi Kondō","Kitarō Kōsaka"
"Ba Thet","Paw Oo Thet"
"Kin Maung","Paw Oo Thet"
"Gustav Bläser","Rudolf Siemering"
"Philip R. Goodwin","Charles Marion Russell"
"Carl Eytel","George Wharton James"
"Julius Evola","Giorgio Almirante"
"Albert Marquet","Leland Bell"
"Rose Maynard Barton","Mildred Anne Butler"
"Ba Nyan","Ngwe Gaing"
"James Rannie Swinton","Thomas Fairland"
"Thein Han","Win Pe Myint"
"Muhammad Sirajuddin Naqshbandi","Fazal Ali Qureshi"
"Julius Evola","Giuseppe Tucci"
"Francesco Guardi","Francesco Simonini"
"Boris Kalin","Jakob Savinšek"
"Maija Grotell","Leza McVey"
"Piero Sraffa","Michał Kalecki"
"Ragnar Nurkse","Paul Rosenstein-Rodan"
"Guan Tong","Li Cheng"
"Juran","Li Cheng"
"Elizabeth Bradford Holbrook","Christian Cardell Corbet"
"Cleeve Horne","Christian Cardell Corbet"
"Jeong Jun-ha","Jeong Hyeong-don"
"Carlo Wolff","Sarah Pinborough"
"Carlo Wolff","Scott Sigler"
"Charles Coleman","Giovanni Costa"
"Amin Ahsan Islahi","Khalid Masud"
"Raoul Vaneigem","Peter Lamborn Wilson"
"John Bauer","Rebecca Guay"
"Derek Walcott","Edward Baugh"
"Hayim Nahman Bialik","Jacob Fichman"
"Graham Harman","Levi Bryant"
"Ion Negoițescu","Radu Stanca"
"Richard Rusczyk","Sam Vandervelde"
"James Rannie Swinton","Richard James Lane"
"Leon Underwood","Blair Hughes-Stanton"
"Ross Macdonald","Peter Spiegelman"
"Ray Brassier","Reza Negarestani"
"Avital Ronell","Emmanuel Lévinas"
"Frantz Fanon","Édouard Glissant"
"Benjamin W. Lee","Abdus Salam"
"Amasis Painter","Andokides painter"
"Exekias","Andokides painter"
"Carlo Wolff","Bentley Little"
"Fanny Brate","Carl Larsson"
"Johannes Peter Müller","Charles Scott Sherrington"
"J. G. Ballard","Christopher Priest"
"John Figueroa","Derek Walcott"
"Lorenzo Costa","Dosso Dossi"
"Stéphane Mallarmé","Henri Michaux"
"Avital Ronell","Jacques Derrida"
"Franz Brentano","Jan Łukasiewicz"
"Ludwig von Bertalanffy","Jay Wright Forrester"
"Edmund Wilson","John Dos Passos"
"George Dantzig","Leonid Hurwicz"
"A. D. Gordon","Rachel Bluwstein"
"Pyrrho","Sextus Empiricus"
"Avital Ronell","Slavoj Žižek"
"Ernesto Laclau","Slavoj Žižek"
"Franz Brentano","Tadeusz Kotarbiński"
"Joseph W. Phinney","Morris Fuller Benton"
"Richard Cyert","Oliver E. Williamson"
"Ronald Coase","Oliver E. Williamson"
"Frantz Fanon","Huey P. Newton"
"Frantz Fanon","Paulo Freire"
"Pierre Louis Maupertuis","Georges-Louis Leclerc, Comte de Buffon"
"Marcello Dudovich","Adolfo Hohenstein"
"Julius Evola","Alain de Benoist"
"Marvin Israel","Barbara Kruger"
"Max Hirsch","Francis Neilson"
"Jerry Sadowitz","Janey Godley"
"Malcolm Hardee","Jerry Sadowitz"
"Adolfo Hohenstein","Leonetto Cappiello"
"Marcello Dudovich","Leonetto Cappiello"
"Piero Sraffa","Pierangelo Garegnani"
"Stanley Cavell","Stephen Mulhall"
"Rose Mead","Sybil Andrews"
"Vasile Pogor","Theodor Rosetti"
"Edward Weston","Tina Modotti"
"Ali ibn al-Madini","Ibrahim ibn Ya'qub al-Juzajani"
"John Milbank","Catherine Pickstock"
"Muhammad Hamidullah","Contemporary Islamic philosophy"
"Christopher Hills","Jamaican art"
"György Márkus","Ágnes Heller"
"Victor Albert Bailey","Alexander John Nicholson"
"Panait Cerna","Alexandru Toma"
"Antonio Zanchi","Antonio Molinari"
"Charles Taylor","Axel Honneth"
"Frantz Fanon","Bobby Seale"
"Ludwig von Bertalanffy","C. West Churchman"
"Julius Evola","Daniel Pinchbeck"
"Martin Johnson Heade","David Bierk"
"Robinson Jeffers","Edward Abbey"
"Betsy Byars","Eve Bunting"
"Alfred Gerrard","F. E. McWilliam"
"Jacopo Bassano","Francesco Bassano the Younger"
"Zvi Griliches","G. S. Maddala"
"Dosso Dossi","Gabriele Capellini"
"Dosso Dossi","Giovanni Francesco Surchi"
"Gabriele d'Annunzio","Giuseppe Ungaretti"
"Stanley Cavell","Hanna Fenichel Pitkin"
"Constant Tonegaru","Iordan Chimet"
"Theodore Roethke","James Dickey"
"John Luke Gallup","Jeffrey Sachs"
"Alasdair MacIntyre","John Milbank"
"Gerald Cohen","John Roemer"
"Otto Weininger","Julius Evola"
"Ilona Lénárd","Kas Oosterhuis"
"Yoshifumi Kondō","Katsuya Kondō"
"Yoshifumi Kondō","Kenichi Yoshida"
"Jacopo Bassano","Leandro Bassano"
"I. A. Richards","M. H. Abrams"
"Axel Honneth","Nancy Fraser"
"Christian Krohg","Oda Krohg"
"Alessandro Varotari","Pietro Liberi"
"Charles E. Lindblom","Robert A. Dahl"
"Ludwig von Bertalanffy","Russell L. Ackoff"
"Nicolas Ambraseys","Sarada K. Sarma"
"John Bauer","Sulamith Wülfing"
"Christopher Smart","Theodore Roethke"
"George Dantzig","Thomas L. Saaty"
"Ba Nyan","Aung Khin"
"Ba Nyan","Ba Kyi"
"Maung Maung Gyi","Ba Thet"
"Lloyd Branson","Catherine Wiley"
"Alfred Gerrard","Eduardo Paolozzi"
"Blanche Lazzell","Ella Sophonisba Hergesheimer"
"Charles Coleman","Enrico Coleman"
"Frederick Gottwald","Frank N. Wilcox"
"Jing Hao","Guan Tong"
"Li Cheng","Guo Xi"
"Frederick Gottwald","Henry Keller"
"Malcolm Hardee","Jenny Eclair"
"Jerry Sadowitz","Jim Jefferies"
"Malcolm Hardee","Johnny Vegas"
"F. L. Griggs","Joseph Webb"
"Ba Kyi","Kyaw Hlaing"
"Ba Nyan","Kyaw Hlaing"
"Ba Thet","Lu Tin"
"San Win","Lun Gywe"
"Thein Han","Lun Gywe"
"Adolfo Hohenstein","Marcello Dudovich"
"Georgette Chen","Ng Eng Teng"
"Lim Cheng Hoe","Ong Kim Seng"
"John Rubens Smith","Peter F. Rothermel"
"Solamalay Namasivayam","Poh Siew Wah"
"Edward Gorey","Richard Sala"
"Winslow Homer","Robert Henri"
"F. L. Griggs","Robin Tanner"
"Joseph Webb","Robin Tanner"
"Monty Wedd","Roger Fletcher"
"Eva Henrietta Hamilton","Rose Maynard Barton"
"Ahmed Benyahia","Samta Benyahia"
"Saya Aye","Saw Maung"
"Ba Kyi","Thein Han"
"Ba Nyan","Thein Han"
"Thomas Charvériat","Wang Dongma"
"Wang Dongma","Zhang Deli"
"Muhammad Iqbal","Bahadur Yar Jung"
"Alfred Gerrard","Kenneth Armitage"
"Arthur Prior","C. J. F. Williams"
"Alexander Christakis","Yiannis Laouris"
"Muhamad Salih Dilan","Kurdish literature"
"Muhammad Iqbal","Abul A'la Maududi"
"Joseph Dietzgen","Antonie Pannekoek"
"John Bauer","Brian Froud"
"Pablita Velarde","Helen Hardin"
"Paul du Toit","Impasto"
"Nikolai Kondratiev","Joseph Schumpeter"
"Otto Weininger","Karl Kraus"
"Anton Graff","Philipp Otto Runge"
"Terence McKenna","Timothy Leary"
"George Dantzig","Tjalling Koopmans"
"Leon Underwood","Gertrude Hermes"
"Hasegawa Tōhaku","Hasegawa school"
"Clive Granger","Mark Watson"
"Jakob Erbar","Paul Renner"
"Giuseppe Ungaretti","Mario Luzi"
"Ronald Coase","Steven N. S. Cheung"
"Carl Eytel","Edmund Jaeger"
"Bernice Neugarten","Bertram Cohler"
"Nikolai Kondratiev","François Simiand"
"Johann Joachim Winckelmann","Carl Justi"
"Evan Thompson","Dan Zahavi"
"Alfred Schütz","Dan Zahavi"
"Herbert Giersch","Norbert Walter"
"J. L. Mackie","Richard Joyce"
"Gabriela Zapolska","Jan August Kisielewski"
"Robinson Jeffers","Mark Jarman"
"Thomas Williams","Andre Dubus III"
"Hillel Steiner","Peter Vallentyne"
"John Dos Passos","John Brunner"
"Stan Pitt","Peter James"
"Joy Williams","Adam Haslett"
"Anton Graff","Caspar David Friedrich"
"Pyrrho","Crates of Athens"
"James Rannie Swinton","Henry Thomas Ryall"
"Ken Domon","Toyoko Tokiwa"
"William Vickrey","Jacques Drèze"
"Juanita Growing Thunder Fogarty","Santa Fe Indian Market"
"Avital Ronell","Friedrich Kittler"
"Ross Macdonald","Peter Abrahams"
"Leslie Scalapino","Laura Moriarty"
"Noon Meem Danish","Urdu poetry"
"Rafiuddin Raz","Urdu poetry"
"Rehan Azmi","Urdu poetry"
"Rahima Naz","Urdu poetry"
"Hasrat Mohani","Urdu poetry"
"Zvi Griliches","Robert Barro"
"Zhu Xi","Wang Yangming"
"Dale W. Jorgenson","Lawrence Lau"
"Stanley Cavell","Nikolas Kompridis"
"Charles Taylor","Nikolas Kompridis"
"Heiner Müller","Thomas Brasch"
"A. D. Gordon","Berl Katznelson"
"Boris Kalin","Stojan Batič"
"Hiroshi Shima","Leprosy stigma"
"Stanley Fischer","Greg Mankiw"
"Zhu Xi","Yi Hwang"
"Ludwig von Bertalanffy","Peter Checkland"
"Ron Slenzak","Atul Kasbekar"
"Graham Harman","Timothy Morton"
"George Earl","Maud Earl"
"Stéphane Mallarmé","Nicola Chiaromonte"
"Stanley Cavell","Ted Cohen"
"Carl Eytel","J. Smeaton Chase"
"Alasdair MacIntyre","Stanley Hauerwas"
"Lewis Mumford","Jonathan Nitzan"
"Jacek Dukaj","Tomasz Bagiński"
"Maxwell Armfield","Birmingham Group"
"Piero Sraffa","Nobuo Okishio"
"Ba Kyi","Aye Maung"
"Thein Han","Ba Yin Galay"
"Adolfo Hohenstein","Giovanni Mario Mataloni"
"Maija Grotell","Howard Kottler"
"Maija Grotell","John Glick"
"Adolfo Hohenstein","Leopoldo Metlicovitz"
"Ibn-e-Safi","M A Rahat"
"Maija Grotell","Margie Hughto"
"Ba Kyi","Maung Maung Thaik"
"Ba Kyi","Min Naing"
"Maija Grotell","Richard deVore"
"Stanley Cavell","William Rothman"
"Ji Suk-jin","Lee Chae-young"
"Radha Krishna Choudhary","Brij Kishore Verma "Manipadma""
"Boris Kagarlitsky","Pavel Kudyukin"
"Traian Demetrescu","Ştefan Petică"
"Ion Minulescu","Al. Gherghel"
"Ion Minulescu","Al. T. Stamatiad"
"Kosta Khetagurov","Alan Cherchesov"
"Gerald Cohen","Alan Patten"
"Boris Kagarlitsky","Anna Ochkina"
"Yamazaki Ansai","Asami Keisai"
"Milan Komar","Augusto del Noce"
"Constant Tonegaru","Barbu Cioculescu"
"Vladimir Colin","Bogdan Suceavă"
"Thomas Charvériat","Cai Duobao"
"Wang Dongma","Cai Duobao"
"Traian Demetrescu","Caton Theodorian"
"Kas Oosterhuis","Chris Kievid"
"Kas Oosterhuis","Christian Friedrich"
"Ion Minulescu","Claudia Millian"
"J. L. Mackie","Colin MacLeod"
"Panait Cerna","Demostene Botez"
"Constant Tonegaru","Dimitrie Stelaru"
"Boris Kalin","Drago Tršar"
"James Rannie Swinton","Francis Holl"
"Wolfgang Stegmüller","Franz von Kutschera"
"Zvi Griliches","Gary Chamberlain"
