"Nicolai Hartmann","Max Scheler"
"Nicolai Hartmann","György Lukács"
"Nicolai Hartmann","Mario Bunge"
"Nicolai Hartmann","Ludwig von Bertalanffy"
"Nicolai Hartmann","Jitendra Nath Mohanty"
"Nicolai Hartmann","Helmuth Plessner"
"Omar Khayyám","Attar of Nishapur"
"Panaetius","Posidonius"
"Panaetius","Hecato of Rhodes"
"Panaetius","Cicero"
"Parmenides","Baruch Spinoza"
"Parmenides","Martin Heidegger"
"Parmenides","Socrates"
"Parmenides","Zeno of Elea"
"Parmenides","Aristotle"
"Parmenides","Friedrich Nietzsche"
"Parmenides","Plato"
"Parmenides","Melissus of Samos"
"Philodemus","Epicureanism"
"Philodemus","Horace"
"Philodemus","Virgil"
"Porphyry","Aristotelianism"
"Porphyry","Boethius"
"Porphyry","Neoplatonism"
"Porphyry","Scholasticism"
"Posidonius","Livy"
"Posidonius","Diodorus Siculus"
"Posidonius","Cicero"
"Posidonius","Jason of Nysa"
"Posidonius","Plutarch"
"Posidonius","Seneca the Younger"
"Posidonius","Strabo"
"Posidonius","Cleomedes"
"Protagoras","Ferdinand Canning Scott Schiller"
"Protagoras","Jeremy Bentham"
"Protagoras","Friedrich Nietzsche"
"Protagoras","Plato"
"Pseudo-Dionysius the Areopagite","Thomas Aquinas"
"Pseudo-Dionysius the Areopagite","Apophatic theology"
"Pseudo-Dionysius the Areopagite","Johannes Scotus Eriugena"
"Pseudo-Dionysius the Areopagite","Maximus the Confessor"
"Pseudo-Dionysius the Areopagite","Meister Eckhart"
"Pseudo-Dionysius the Areopagite","Nicholas of Cusa"
"Pseudo-Dionysius the Areopagite","Scholasticism"
"Pseudo-Dionysius the Areopagite","Christian mysticism"
"Pythagoras","Empedocles"
"Pythagoras","Parmenides"
"Pythagoras","Euclid"
"Pythagoras","Johannes Kepler"
"Pythagoras","Plato"
"Pythagoras","Hippasus"
"Pythagoras","Alcmaeon of Croton"
"Pythagoras","Philolaus"
"Raymond Williams","Edward Said"
"Raymond Williams","Terry Eagleton"
"Richard Cantillon","Victor de Riqueti, marquis de Mirabeau"
"Søren Kierkegaard","Theodor W. Adorno"
"Saul Kripke","Paul Boghossian"
"Simone Weil","Jean-Luc Godard"
"Simone Weil","Diogenes Allen"
"Simone Weil","Iris Murdoch"
"Simone Weil","Dewi Zephaniah Phillips"
"Simone Weil","Flannery O'Connor"
"Simone Weil","Albert Camus"
"Simone Weil","Czesław Miłosz"
"Simone Weil","Pope Paul VI"
"Simone Weil","Anne Carson"
"Simone Weil","János Pilinszky"
"Simone Weil","Peter Winch"
"Speusippus","Xenocrates"
"Theodor W. Adorno","Jürgen Habermas"
"Vladimir Solovyov","Nikolai Berdyaev"
"Vladimir Solovyov","Andrei Bely"
"Vladimir Solovyov","Alexander Blok"
"Vladimir Solovyov","Pavel Florensky"
"Vladimir Solovyov","Sergei Bulgakov"
"Vladimir Solovyov","Semyon Frank"
"Vladimir Solovyov","Alexandre Kojève"
"Zeno of Citium","Chrysippus"
"Zeno of Citium","Cleanthes"
"Zeno of Citium","Epictetus"
"Zeno of Citium","Panaetius"
"Zeno of Citium","Posidonius"
"Zeno of Citium","Marcus Aurelius"
"Zeno of Citium","Seneca the Younger"
"Zeno of Sidon","Philodemus"
"Émile Armand","Michel Onfray"
"Émile Armand","Iniciales"
"Émile Armand","Maria Lacerda de Moura"
"Émile Armand","Miguel Giménez Igualada"
"Émile Armand","Daniel Guérin"
"Émile Armand","La Revista Blanca"
"Étienne Gilson","Paul Weiss"
"Étienne Gilson","Second Vatican Council"
"Étienne Gilson","Richard McKeon"
"Étienne Gilson","Henry Corbin"
"Étienne Gilson","John F. X. Knasas"
"Étienne Gilson","Norman Geisler"
"Étienne Gilson","Jacques Maritain"
"Alain Badiou","Nina Power"
"Alain Badiou","Mehdi Belhaj Kacem"
"Alain Badiou","Simon Critchley"
"Alain Badiou","Oliver Feltham"
"Alain Badiou","Justin Clemens"
